,,,,,,,,,첫날,,,,,,
순위,영화명,개봉일,총 매출액,매출액 점유율, 총 관객수,총 스크린수,총 상영횟수,,첫날 관객수,첫날 매출액,첫날 스크린수,첫날 상영횟수,,마지막 상영날짜 (상영종료일),총 상영 일수 (Days)
95,괴기열차,2025-07-09,"983,800,450",0.1%,"105,990",578,"7,723",,"12,919","117,124,060",573,1085,,2025-08-06,28
96,스트리밍,2025-03-21,"1,010,579,120",0.1%,"104,505",819,"14,876",,"31,524","307,271,400",819,2856,,2025-04-18,28
97,홈캠,2025-09-10,"937,376,100",0.1%,"100,007",280,"8,108",,"13,306","108,178,400",260,894,,2025-10-08,28
98,아마추어,2025-04-09,"905,461,350",0.1%,"96,448",728,"15,445",,"15,899","142,061,840",728,2032,,2025-04-23,14
99,브루탈리스트,2025-02-12,"958,202,020",0.1%,"95,785",302,"7,166",,"4,952","46,524,000",302,471,,2025-02-26,14
100,프랑켄슈타인 : 더 뮤지컬 라이브,2025-09-18,"2,303,799,100",0.2%,"93,574",176,"5,931",,"4,789","118,633,100",19,82,,2025-10-02,14
101,고독한 미식가 더 무비,2025-03-19,"861,605,300",0.1%,"93,319",662,"12,720",,"10,235","90,416,840",575,1083,,2025-04-02,14
,,,,,,,,,,,,,,,
103,명탐정 코난: 17년 전의 진상,2025-09-19,"936,247,600",0.1%,"89,624",271,"6,053",,16193,"179,174,300",245,752,,2025-10-03,14
104,극장판 프로젝트 세카이 부서진 세카이와 전해지지 않는 미쿠의 노래,2025-05-29,"836,408,210",0.1%,"88,401",167,"5,379",,"7,510","68,246,300",158,364,,2025-06-12,14
105,침범,2025-03-12,"785,368,200",0.1%,"87,371",540,"10,826",,"10,513","91,213,600",527,1424,,2025-03-26,14
106,위플래쉬,2015-03-12,"872,147,560",0.1%,"86,095",503,"8,651",,"10,212","96,625,980",485,847,,2015-03-26,14
107,웨폰,2025-10-15,"823,809,070",0.1%,"82,265",568,"9,479",,"12,011","113,428,620",524,1283,,2025-10-29,14
108,건국전쟁2,2025-09-10,"821,618,410",0.1%,"82,173",379,"6,284",,"3,405","32,634,900",379,693,,2025-09-24,14
109,파이널 데스티네이션 블러드라인,2025-05-14,"804,055,650",0.1%,"80,031",515,"10,042",,"8,431","80,363,200",509,1483,,2025-05-28,14
110,명탐정 코난: 14번째 표적,2025-02-14,"744,149,040",0.1%,"79,182",587,"9,313",,"15,480","144,339,960",557,1239,,2025-02-28,14
111,씨너스: 죄인들,2025-05-28,"896,734,540",0.1%,"78,957",610,"7,157",,"10,479","95,263,860",610,1302,,2025-06-11,14
112,아이유 콘서트 : 더 위닝,2025-01-24,"2,076,626,500",0.2%,"75,872",118,"4,741",,"12,500","346,528,000",99,331,,2025-02-07,14
113,바이러스,2025-05-07,"662,836,960",0.1%,"74,307",663,"10,965",,"11,453","99,303,100",1647,555,,2025-05-21,14
114,부고니아,2025-11-05,"735,596,900",0.1%,"73,365",527,"9,136",,"9,092","85,688,870",518,1143,,2025-11-19,14
115,힘내라 대한민국,2025-02-27,"669,149,760",0.1%,"73,093",173,"4,250",,"4,099","38,710,660",93,186,,2025-03-13,14
116,강령: 귀신놀이,2025-08-06,"706,209,800",0.1%,"72,305",224,"4,664",,"9,159","86,031,200",542,829,,2025-08-20,14
117,나쁜계집애: 달려라 하니,2025-10-07,"643,718,230",0.1%,"71,075",487,"5,531",,"14,612","123,515,000",487,755,,2025-10-21,14
118,무명 無名,2025-06-25,"664,737,500",0.1%,"70,289",184,"3,860",,213,"32,000,700",161,3813,,2025-07-09,14
119,귀시,2025-09-17,"684,153,410",0.1%,"68,623",621,"8,483",,"9,968","97,715,600",618,1430,,2025-10-01,14
120,브링 허 백,2025-06-06,"559,984,600",0.1%,"66,911",246,"6,067",,"14,950","120,300,700",246,634,,2025-06-20,14
121,압수수색: 내란의 시작,2025-04-23,"618,472,100",0.1%,"64,680",278,"4,361",,"5,455","48,663,900",459,234,,2025-05-07,14
122,시크릿쥬쥬 마법의 하모니,2025-05-01,"585,282,160",0.1%,"64,611",575,"5,827",,"12,059","102,874,560",543,831,,2025-05-15,14
123,머티리얼리스트,2025-08-08,"591,365,500",0.1%,"63,778",172,"5,612",,"7,585","63,903,550",520,166,,2025-08-22,14
124,고고다이노 극장판: 게코도마뱀의 꿈,2025-07-30,"584,539,200",0.1%,"63,611",209,"3,904",,"5,790","52,796,700",165,202,,2025-08-13,14
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
127,독립군: 끝나지 않은 전쟁,2025-08-13,"554,511,420",0.1%,"60,254",177,"3,444",,"17,097","128,823,800",331,945,,2025-08-27,14
128,노바디2,2025-08-27,"532,150,200",0.1%,"59,534",335,"6,914",,"11,096","90,135,160",455,917,,2025-09-10,14
129,꼬마마법사 주니토니,2025-07-26,"511,399,400",0.0%,"58,709",170,"3,073",,"5,949","54,235,600",170,260,,2025-08-09,14
130,귀신경찰,2025-01-24,"506,545,800",0.0%,"58,661",378,"5,020",,"6,049","51,374,060",378,784,,2025-02-07,14
131,나혼자 프린스,2025-11-19,"509,074,310",0.0%,"56,126",536,"8,599",,"6,090","51,809,500",535,"1,099",,2025-12-03,14
